>>L<<English	,>>L<<Chinese
barbarize	,变得野蛮
barbital	,巴比妥
barbiturate	,巴比妥酸盐
Barclay Classroom Climate Inventory	,巴克雷班级气氛测验
baresthesia	,压觉
baresthesiometer	,压觉计
bargain for	,指望
bargaining	,协商
bargaining theory	,谈判理论
barium sulfate	,硫酸钡
Barnum effect	,巴奴姆效应
baroagnosis	,压觉缺失
baroelectroesthesiometer	,压觉电测计
barognosis	,辨重能
barometer	,气压计
baropacer	,血压调节器
barophilic	,嗜压的
barophobia	,重量恐怖症
baroreceptor	,压力感受器
barothermograph	,气压温度计
barracoon	,奴隶集中场所
BarretLennard Relationship Inventory	,巴伦二氏关系量表
BarreGuillain syndrome	,急性热病性多神经炎
BarreLieou syndrome	,后颈交感神经综合症
barrier	,隔栅
Barron Conformity Scale	,贝伦从众量表
BarronWelsh Art Scale	,贝韦二氏美术量表
barye	,微巴
baryencephalia	,智力迟钝
baryesthesia	,压觉
baryglossia	,言语拙笨
barylalia	,言语不清
baryphonia	,语声涩滞
basal	,底的
basal age	,基础年龄
basal age	,基准年龄
basal body temperature	,基础体温
basal ganglia	,基底神经节
basal ganglion	,基底神经节
basal metabolic rate	,基础代谢率
basal metabolic rate	,新陈代谢基率
basal metabolism	,基础代谢
basal reflex	,基础反射
basal year level	,基础年龄
base	,基础
base component	,基础部分
base configuration	,基础构造
base form	,基础形式
base frequency	,基础频率
base line	,基线
base material	,基质
base of skull	,颅底
base point	,基点
base rate	,基础比率
base rule	,基础规则
base structure	,基础结构
base year	,基础年龄
Basedows disease	,巴塞道病
baseline activity	,基线活动
baseline group	,基准组
baseline time	,基线时间
basement effect	,底层效应
bashfulness	,羞怯
basiarachnitis	,颅底蛛膜炎
basiarachnoiditis	,颅底蛛膜炎
basic acts	,基本动作
Basic and Applied Social Psychology	,基础与应用社会心理学
basic anxiety	,基本焦虑
basic anxiety theory	,基本焦虑理论
basic body dimension drawings	,基本人体尺寸图
basic capacity	,基本能力
basic cells of thinking	,思维的基本单位 思维的基本单位
basic concept	,基本概念
basic conflict	,基本冲突
basic contention	,基本论点
basic contradiction	,基本矛盾
basic element	,基本元素
basic energy level	,基本能量水平
basic fact	,基本事实
basic feature	,基本特征
basic form	,基本形式
basic formal pattern	,基本形式模式
basic frequency	,基本频率
basic function of commodities	,商品的基本功能
basic human right	,基本人权
basic law	,基本法律
basic line	,基线
basic logic	,基础逻辑
basic meaning	,基本意义
basic mistrust	,基本怀疑
basic modal logic	,基本模态逻辑
basic need	,基本需要
basic number	,基数
Basic Occupational Literacy Test	,基本职业识字测验
basic operation	,基本运算
basic personality	,基本人格
basic personality structure	,基本人格构造
basic personality type	,基本人格类型
basic principle	,基本原理
basic process	,基本过程
basic process of nervous activity	,神经活动的基本过程
basic representation	,基本表示
basic research	,基本研究
basic rule	,基本规则
basic sentence	,基本句子
basic skill	,基本技能
basic solution	,基本解
basic statement	,基本陈述
basic statistical method	,基本统计方法
basic statistics	,基本统计
basic structure	,基本结构
basic structure of a subject	,学科的基本结构
basic symbol	,基本符号
basic terminology	,基本术语
basic thought	,基本思想
basic trust	,基本信任
basic variable	,基本变量
basic vocabulary	,基本语汇
basilar membrane	,基底膜
basilemma	,基膜
basioccipital	,枕骨底部
basis	,基础
basis cerebri	,大脑底
basis of calculation	,计算标准
basis of ethics	,伦理学基础
basis reference	,参考基准
basiscopic	,下侧的
basket	,蓝状细胞
basket endings	,蓝状末梢
basograph	,步态描记器
basophobia	,恐走动症
basophobia	,走动恐怖症
basophobiac	,步行恐怖者
bastard	,私生子
Basticks intuition theory	,巴斯蒂克直觉论
bathesthesia	,深部感觉
bathmic	,生长力的
bathmic force	,进化控制力
bathmotropic	,变阈性
bathmotropic action	,变兴奋性作用
bathomorphic	,凹眼的
bathophobia	,望深恐怖症
bathyanesthesia	,深部感觉缺失
bathyesthesia	,深部觉
bathyhyperesthesia	,深部感觉过敏
bathyhypesthesia	,深部感觉迟钝
bathypsychology	,深蕴心理学
BATNA	,达成谈判协议的最佳选择方案
batrachophobia	,恐蛙症
batrachophobia	,蛙恐怖症
bats	,发疯的
battarism	,口吃
battered child syndrome	,被虐儿童综合症
battery of tests	,成套测验
battle fatigue	,战争神经症
Battleys sedative	,巴特利镇静剂
bawdry	,淫乱
Bayesian analysis	,贝叶斯分析
Bayesian inference	,贝叶斯推论
Bayesian statistic	,贝叶斯统计
Bayess estimator	,贝叶斯估计量
Bayess theorem	,贝叶斯定理
Bayley Scales	,贝氏量表
Bayley Scales of Infant Development	,贝氏婴儿发展量表
Bayles disease	,贝尔病
BBB	,血脑屏障 血脑屏障
BBT	,基础体温
beam	,光束
beamy	,放光的
bear with	,忍受
Beards disease	,神经衰弱
bearing capacity	,承载能力
bearing down	,下坠力
bearish	,粗鲁的
beastliness	,兽性
beastly	,残忍的
beat	,拍
beat generation	,美国“垮了的一代” 美国“垮了的一代”
beat of pulse	,脉搏
beaten	,筋疲力尽的
beating fantasy	,毒打幻想
beatfrequency oscillator	,节拍器
beattone	,拍音
beauty	,美
beauty of art	,艺术美
beauty of behavior	,行为美
beauty of defect	,缺陷美
beauty of environment	,环境美
beauty of human body	,人体美
beauty of human society	,人类社会美
beauty of language	,语言美
beauty of mind	,心灵美
beauty of nature	,自然美
beauty of neutrality	,中和美
beauty of silence	,无言美
beauty of staunchness	,刚性美
Bechterev technique	,别赫切列夫法
Bechterevs nucleus	,别赫切列夫核
Bechterevs nucleus	,前庭神经上核
Beck Depression Inventory	,白氏抑郁症量表
Becker Test	,贝克尔试验
Beckman thermometer	,贝克曼氏温度计 贝克曼氏温度计
beckon	,召唤
bedevil	,折磨
bedevilment	,着魔
bedfast	,卧床不起
bedim	,模糊不清
bedlamism	,疯狂状态
bedlamite	,精神病患者
bedrid	,卧床不起
bedridden	,卧床不起
bedwetting	,遗尿
Beevors sign	,比佛症
befit	,适合
beforeafter design	,事前事后设计 前後设计法
beforeafter experiment	,事前事后测验
befoul	,污蔑
beginning of personality	,人格起源
beginning psychology	,早期心理学
behavior	,行为
behavior act	,行为动作
behavior adaptation	,行为适应
behavior adjustment	,行为适应
behavior analysis	,行为分析
Behavior and Philosophy	,行为与哲学
behavior assumption	,行为假定
behavior biology	,行为生物学
behavior case study	,行为事例研究法
behavior chain	,行为连锁
behavior chaining	,行为连锁化
behavior change	,行为变化
behavior characteristics	,行为特征
behavior check list	,行为检核表
behavior component	,行为成分
behavior contagion	,行为感染
behavior contract	,行为契约
behavior control	,行为控制
behavior control power	,行为控制力
behavior description	,行为描述
behavior determinant	,行为定因
behavior disorder	,行为障碍
behavior disposition	,行为意向
behavior dynamics	,行为动力学
behavior ecology	,行为生态学
behavior emergence	,行为显现
behavior engineering	,行为工程学
behavior environment	,行为环境
behavior feedback	,行为反馈
behavior field	,行为场
behavior genetics	,行为遗传学
behavior gradient	,行为梯度
behavior homology	,行为同源
behavior integration	,行为整合
behavior interaction	,行为相互作用
behavior level	,行为水平
behavior measure	,行为测量
behavior medicine	,行为医学
behavior method	,行为研究法
behavior modification	,行为矫正
behavior observation	,行为观察
behavior observation scales	,行为评定量表
Behavior Observation Survey	,行为观察调查表
behavior of men	,人类行为
behavior patter	,行为模式
behavior patter in old age	,老年期的行为模式
behavior potential	,行为势能
behavior problem	,行为问题
behavior psychology	,行为心理学
behavior rating	,行为评定法
Behavior Rating Instrument for Autistic and Other Atypical Children	,孤独和反常儿童行为评定工具
behavior rating schedule	,行为评定表
behavior reaction	,行为反应
behavior record	,行为记录
behavior reflex	,行为反射
Behavior Research and Therapy	,行为研究与治疗
behavior rigidity	,行为僵化
behavior sampling	,行为抽样
behavior segment	,行为片段
behavior setting	,行为定势
behavior shaping	,行为塑造
behavior socialization	,行为社会化
behavior space	,行为空间
behavior system	,行为系统
behavior theory	,行为理论
Behavior Therapy	,行为疗法
behavior therapy groups	,行为治疗团体 行为治疗团体
behavior transfer	,行为转移
behavior type	,行为类型
behavior unit	,行为单元
behavioral	,行为的
behavioral analysis of society	,社会的行为分析
Behavioral Anchored Rating Scale	,行为定位评价量表
behavioral and learning principles	,行为与学习原则
behavioral competence	,行为能力
behavioral component	,行为性成分
behavioral concept	,行为概念
behavioral constraint model	,行为受限模型
behavioral contrast	,行为反差
behavioral counseling	,行为咨询
behavioral decision theory	,行为决策理论
behavioral dimorphism	,行为二形性
behavioral disposition	,行为意向
behavioral ecology	,行为生态学
behavioral engineering	,行为工程学
behavioral environment	,行为环境
behavioral equivalence	,行为等值
behavioral expression	,行为表现
behavioral facilitation	,行为便利化
behavioral genetics	,行为遗传学
behavioral indicator	,行为指标
behavioral intention	,行为意向
behavioral learning model	,行为学习模式 行为学习模式
behavioral measure	,行为测量
behavioral medicine	,行为医学
behavioral model	,行为模式
behavioral motive	,行为动机
Behavioral Neuroscience	,行为神经科学
behavioral norms	,行为规范
behavioral objective	,行为目标
behavioral pattern	,行为模式
behavioral pattern theories	,行为模式理论
behavioral phase	,行为阶段
behavioral psychology	,行为主义心理学 行为主义心理学
behavioral psychotherapy	,行为心理治疗 行为心理治疗法
behavioral school	,行为学派
behavioral science	,行为科学
behavioral scientific decision model	,行为科学的决策模式
behavioral scientific decision rule	,行为科学的决策规则
behavioral scientist	,行为科学家
behavioral sink	,行为的沉沦
behavioral stimulus field	,行为刺激场
behavioral styles theory	,行为类型理论 行为类型理论
behavioral taxonomy	,行为分类学
behavioral techniques	,行为技术
behavioral theories of leadership	,领导的行为理论
behavioral theories of learning	,学习的行为理论
behavioral theory	,行为理论
behavioral trait	,行为特性
behavioral unity	,行为统一
behavioralpattern theories of leadership	,领导的行为模式理论
behaviorism	,行为主义
behaviorist	,行为主义者
behavioristic	,行为主义的
behavioristic approach	,行为主义方法
behavioristic psychology	,行为主义心理学
behavioristic resistance	,行为阻力
behavioristics	,行为学
behaviormapping	,行为区划
behind conditioned reflex	,错后条件反射 错後制约反射
BehnRorschach Test	,贝罗测验
beholder	,观看者
being	,存在
being and becoming	,存在和生成
being and freedom	,存在和自由
being and meaning	,存在与意义
being and not being	,有与无
being and time	,存在与时间
being cognition	,存在认知
being fond of learning	,好学
being love	,存在之爱
being motivation	,存在动机
being need	,存在需求
being value	,存在价值
beingless	,不存在的
beingless	,无实在性
beingbeyondtheworld	,超现实存在
beingforitself	,自为之有
beingforself	,自为存在
beingimitated effect	,受模仿效应
beinginitself	,实在本身
beingintheworld	,现实中存在
Bekesy audiometry	,贝克赛测听法
Bekhterev technique	,别赫捷列夫法
Bekhterev Test	,别赫捷列夫试验
Bekhterevs layer	,别赫捷列夫层
Bekhterevs nucleus	,前庭神经上核
Bekhterevs reflex	,别赫捷列夫反射
Bekhterevs symptom	,面肌麻痹
bel	,贝尔
bel esprit	,才子
belabor	,痛打
belief	,信念
belief and worship	,信仰与崇拜
belief systems	,信仰体系
beliefvalue matrix	,信念价值方阵
believe	,信任
believing and necessity	,信仰与需要
belittle	,贬低
Bell Adjustment Inventory	,贝尔适应量表
belladonna	,颠茄
belle indifference	,泰然淡漠
Bellevue Scale	,贝尔夫智力量表
belligerence	,好战性
bellow	,吼叫
belly laugh	,捧腹大笑
Bells law	,贝尔定律
Bells mania	,急性谵妄
Bells nerve	,胸长神经
Bells palsy	,贝尔麻痹
Bells phenomenon	,贝尔现象
BellMagendic law	,贝马神经运动感知定律
bellshaped	,钟形
bellshaped curve	,钟形曲线
bellshaped distribution	,钟形分布
bellshaped symmetrical curve	,钟形对称曲线
belonephobia	,尖物恐怖症
belonephobia	,恐针症
belonging	,隶属
belonging need	,从众需要
belonging need	,归属需要
belongingness	,从众性
belongingness	,归属感
belongingness and love need	,归属与相爱需要
belonoskiascopy	,针形检影法
bemoan	,悲叹
Benary effect	,贝纳瑞效应
bench height	,工作台高度
benchmark	,基准
benchmark data	,基准数据
benchmark program	,基准程序
benchmark system	,基准系统
Bender Gestalt Test	,本德尔格式塔测验 班达完形测验
Bender VisualMotor Gestalt Test	,本德尔视觉动作完形测验
beneath contempt	,卑鄙之极
beneath notice	,不值得注意的
beneceptor	,良性感受器
Benedikts syndrome	,本尼迪克特综合症
benefaction	,善行
benefit	,利益
benevolence	,仁爱
benevolentauthoritative management	,恩威式管理
Benham top	,贝汉圆板
benign psychosis	,良性精神病
benignity	,慈祥
Bennett Mechanical Comprehension Test	,贝纳特机械理解测验
Bennett Test	,贝纳特大学智力测验
benny	,安非他明片
Benton Visual Retention Test	,本顿视觉保持测验
benumb	,使僵化
berate	,训斥
bereavement	,丧亲之哀
bereavement and mourning reaction	,居丧反应
Berger rhythm	,贝格尔节律
Berger rhythm	,甲种脑电波
Bergerons chorea	,贝尔热隆病
Bergers paresthesia	,贝格尔感觉异常 柏格感觉常
Bergers sign	,贝格尔症
Bergers symptom	,贝格尔症状
Bergmanns cells	,贝格曼细胞
Bergmanns cords	,第四脑室髓纹
Bergmanns fibers	,贝格曼纤维
Bergsonian	,柏格森派
Bergsonism	,柏格森主义
Bergsons doctrine of duration	,柏格森的绵延说
Berkeleian	,贝克莱派
Berkeleian idealism	,贝克莱派唯心主义 贝克莱派唯心主义
Berkeleianism	,贝克莱主义
Berkeleys theory of vision	,贝克莱视觉说
Berlins disease	,视网膜震荡
Bernheimers fibers	,伯恩海默纤维
Bernreuter Personality Inventory	,本罗特人格量表
berserk fury	,暴怒
berserker	,狂暴的人
beseech	,恳求
besetment	,困扰
beshrew	,诅咒
beside oneself with joy	,欣喜若狂
besmirch	,沾污
best allocation	,最佳配置
best estimate	,最佳推算数
best estimator	,最佳估计量
best fit	,最佳配合
best in quality	,品质优良
best linear unbiased estimator	,最佳线性不偏估计量
best test	,最佳检验
bestiality	,兽恋症
bestiality	,兽性
bestow	,赠给
bestanswer test	,选答测验
beta coefficient	,β系数
beta distribution	,β分布
Beta Examination	,β智力测验
beta hypothesis	,β假说
beta model	,β模式
beta motor neuron	,β运动神经元
beta movement	,β似动现象
beta movement	,β运动
beta particle	,β粒子
beta ray	,β射线
beta receptor	,β受体
beta response	,β节律
beta value	,β值
beta wave	,β波
beta wave	,乙型波
betabinomial models	,β二项式模式
betafiber	,β纤维
betareceptor	,β肾上腺受体
betrayal	,背叛行为
bettered child	,被虐儿童
bettered child syndrome	,被虐儿童综合症
bettered wife	,被虐妻子
betterment	,改善
betterness	,优等
betteroff	,境况较好
between group design	,组间设计
between group variable	,组间方差
between word spacing	,字间距
betweenbrain	,间脑
betweenness	,中间性
betweenSs design	,组间法
betweensubjects design	,被试者间设计 被试者间设计
betweensubjects variance	,被试者间方差
Betz cell area	,贝兹细胞区
Betz cells	,贝兹细胞
bewail	,悲叹
beware	,谨防
bewilderment	,迷惑状态
bewitch	,蛊惑
bewitchment	,被蛊惑
bewray	,泄露
Bezolds color mixing effect	,贝措尔德混色效应
Bezolds ganglion	,贝措尔德神经节
Bezolds triad	,贝措尔德三症
BezoldBrucke effect	,贝勃效应
BezoldBrucke phenomenon	,贝勃色觉现象
BezoldBrucke shift	,贝勃转移
bhang	,印度大麻
bi serial	,双列
Bianchis syndrome	,比昂基综合症
bias	,偏差
bias	,偏向
biased choice	,偏见选择
biased error	,偏误
biased estimator	,有偏估计量
biased group	,选择组
biased result	,有偏结果
biased sample	,偏性样本
biased sampling	,偏性抽样
biased statistic	,有偏统计量
bibber	,酒鬼
bibliofilm	,图书缩微胶片
Bibliographic Guide to Psychology	,心理学文献指南
bibliography	,文献目录
bibliomania	,藏书癖
bibliophilism	,爱书癖
bibliophilism	,藏书家
bibliophobia	,恐书症
bibliotherapy	,读书疗法
bicameral	,两腔的
Bichats canal	,大脑大静脉
Bichats fissure	,大脑横裂
Bichats foramen	,蛛网膜孔
bicker	,争吵
bicoordinate navigation	,双坐标导航
bicycle ergometer	,自行车测力计
Bidders ganglion	,比德尔神经节
bidding	,命令
Biedls disease	,比德尔病
Biedls syndrome	,比德尔综合症
Bielschowskys method	,比尔肖夫斯基法 比尔肖夫斯基法
BielschowskyJansky disease	,晚期婴儿型家族性黑蒙性痴呆
Biernackis sign	,别尔纳茨基症
bifactor theory of conditioning	,条件反射二因素说
bifuration	,分支亲系
bifurcate	,两枝的
bifurcation point	,分歧点
bifurcation problem	,分歧问题
bifurcation theory	,分歧理论
big business	,大企业
big cheese	,粗鲁男子
big mouth	,多话的人
bigamist	,犯重婚罪者
bigamy	,重婚
bigot	,抱偏见的人
bigotry	,偏执
bilateral	,两侧的
bilateral cooperative model of reading	,阅读的双边协作模式
bilateral descent	,双亲遗传
bilateral power relationship	,双方分权关系
bilateral summation	,两侧积累
bilateral symmetry	,两侧对称
bilateral transfer	,两侧性迁移
bilateral transfer	,左右迁移
bilateral type	,两侧对称式
bilateralism	,两侧对称
bilaterality	,两侧对称
bilaterally symmetrical	,两侧对称的
bile	,胆液
bilineurine	,胆碱
bilingual	,双重语言的
bilingual children	,双语儿童
bilingual distribution	,双语分布
bilingual education	,双语教育
bilingual interference	,双语阻扰
bilingual society	,双语社会
bilingualism	,双语制
bilingualism	,双重语言
bilious	,暴躁的
bilious	,胆汁的
bilious temperament	,胆汁质
bilis	,胆汁
bimanual synergia	,双手协同运动
bimodal	,双峰的
bimodal curve	,双峰曲线
bimodal distribution	,双峰分配
bimodality	,双峰性
binac	,二进制自动计算机
binary	,二进制的
binary arithmetic	,二进制算术
binary bit	,二进位
binary cell	,二进制单位
binary digits	,二进位数
binary information	,二进制信息
binary internal number base	,内二进制数基
binary number	,二进制数
binary signal	,二进制信号
binary word	,二进制字
binaural	,双耳的
binaural fusion	,双耳融合
binaural hearing	,双耳听觉
binaural interaction	,双耳相互作用
binaural phase difference	,双耳相位差
binaural ratio	,双耳比例
binding energy	,结合能
bindle stiff	,流浪汉
Binet	,Simon Intelligence Scale
Binet class	,比内班
Binet laboratory	,比内实验室
Binet Scale	,比内量表
Binet Test	,比内测验
Binetgram	,比内量表图解
BinetSimon classification	,比内西蒙分类
BinetSimon Scale of Intelligence	,比内西蒙智力量表
BinetSimon Test	,比内西蒙测验
binocular	,双眼的
binocular accommodation	,双眼调节
binocular cell	,双眼性细胞
binocular color mixture	,双眼混色
binocular colormixture	,双眼色混合
binocular contrast	,双眼对比
binocular cues	,双眼线索
binocular depth perception	,双眼深度知觉
binocular diplopia	,双眼复视
binocular disparity	,双眼像差
binocular fixation	,双眼注视
binocular flicker	,双眼集中
binocular fusion	,双眼视像融合
binocular information	,双眼信息
binocular luster	,双眼光泽现象
binocular matching	,双眼调节
binocular parallax	,双眼视差
binocular perception	,双眼知觉
binocular perspective	,双眼透视
binocular rivalry	,双眼竞争
binocular stereopsis	,双眼实体视觉
binocular summation	,双眼总和
binocular synergy	,双眼共同运动
binocular vision	,双眼视觉
binomial	,二项式
binomial coefficient	,二项系数
binomial distribution	,二项分布
binomial group testing	,二项分组测验法 二项分组测验法
binomial theorem	,二项式定理
binomial variable	,二项变量
binophthalmoscope	,双目检眼镜
binoscope	,双目单视镜
Binswanger dementia	,宾斯万格痴呆
Binswanger encephalitis	,宾斯万格脑炎 宾斯万格脑炎
bioassay	,生物鉴定
biobalance	,生物平衡
biocenology	,生物群落学
biocenose	,生物群落
biocenosis	,生物群落
biochemical defect	,生化缺陷
biochemical energy	,生化能
biochemical engineering	,生化工程
biochemical evolution	,生化进化
biochemical genetics	,生化遗传学
biochemical mechanism	,生化机制
biochemist	,生物化学家
biochemistry	,生物化学
biochemorphology	,形态生物化学
bioclimatology	,物候学
biocoenology	,生物群落学
biocoenosis	,生物群落
biocybernetics	,生物控制论
biocycle	,生活周期
biodynamics	,生物动力学
bioecology	,生物生态学
bioelectric current	,生物电流
bioelectric potential	,生物电位
bioelectricity	,生物电
bioelectrogenesis	,生物电发生
bioelement	,生物元素
bioenergetics	,生物能量学
bioengineering	,生物工程学
bioethics	,生物伦理学
biofeedback	,生物反馈
biofeedback therapy	,生物反馈疗法
biofeedback training	,生物反馈训练
biogenesis	,生源说
biogenetic law	,生物发生原则
biogenic	,生源的
biogenic amine	,生物胺
biogenic amine hypothesis of depression	,抑郁症的生物胺假说
biogenic motive	,生物发生动机
biogenic succession	,生物进化演替
biogenous	,生物发生的
biogeochemistry	,生物地球化学
biogeography	,生物地理学
biograph	,生物运动描记器
biographer	,传记作者
biographical characteristics	,传记特点
biographical data	,传记式资料
biographical inventory	,传记式量表
Biographical Inventory for R & T Talent	,科研人才甄选传记式量表
biographical inventory tests	,传记式问卷测验
biographical method	,传记法
biographical study	,传记研究
biographicaltype case study	,传记式个案研究
biography	,传记
biokinetics	,生物运动学
biolinguistics	,生物语言学
biologic therapy	,生理疗法
biological aging	,生物性老化
biological anthropology	,生物人类学
biological balance	,生态平衡
biological clock	,生物钟
biological cycle	,生物周期
biological determinism	,生物决定论
biological drive	,生物性驱力
biological engineering	,生物工程学
biological gratification	,生物满足
biological heritage	,生理承袭
biological imperative	,生理的必然性
biological intelligence	,生理智力
biological memory	,生物性记忆
biological motivation	,生物性动机
biological motive	,生物性动机
biological nature of man	,人的生物性
biological need	,生理需要
biological rhythm	,生物节律
biological school in crimin	,犯罪生物学派
biological sex difference	,生物性别差异 生物性别差
biological tendency	,生物倾向
biological theory	,生物学理论
biological theory of sex type	,性别类型的生物学理论
biologicalization	,生物学化
biologism	,生物学主义
biologist	,生物学家
biologos	,生物活力
biology	,生物学
biomathematics	,生物数学
biome	,生物群落
biomechanics	,生物力学
biomechanism	,生物机械论
biomedical engineering	,生物医学工程学 生物医学工程学
biomedical model	,生物医学模式
biomedical therapy	,生物医学疗法
biomedicine	,生物医学
biometeorology	,生物气象学
biometric	,生物计量的
biometric procedure	,生物统计法
biometrics	,生物计量学
biometrics method	,生理计量法
biometry	,生物统计学
biomophic	,生物形态的
bionergy	,生命力
bionics	,仿生学
bionomic	,生态的
bionomic factor	,生态因素
bionomics	,生态学
bionomy	,生命规律学
bionomy	,生态学
bionuclenonics	,生物核子学
biophilia	,生物自卫本能
biophotometer	,光度适应计
biophysical intervention	,生物物理干涉 生物物理干涉
biophysicist	,生物物理学家
biophysics	,生物物理学
bioplasm	,原生质
biopoiesis	,生命自生
bioprogram language	,生物程序语言
biopsychic	,生物心理的
biopsychology	,生物心理学
biopsychosocial medical model	,生物心理社会医学模式
biopsychosocial model	,生物心理社会模式
bioreactor	,生物反应器
bioreversible	,生物可逆的
biorgan	,生理器官
biorhythm	,生物节律
bios	,生物活素类
biosensor	,生理传感器
biosis	,生命现象
biosocial	,生物社会的
biosocial approach	,生物社会性研究方法
biosocial environment	,生物社会环境
biosocial psychology	,生物社会心理学
biosocial theory	,生物社会论
biosphere	,生物圈
biostatics	,生物静力学
biostatistician	,生物统计学家
biostatistics	,生物统计学
biotaxy	,生物分类学
biotechnology	,生物技术学
biotelemetry	,生物遥测法
biotic community	,生物共同体
biotic energy	,生命力
biotic environment	,生物环境
biotic experiment	,生物实验
biotic influence	,生物影响
biotics	,生命学
biotomy	,生物解剖学
biotype	,生物类型
biotypology	,生物属型学
bioacoustics	,生物声学
bioclock	,生物钟
bioecology	,生物生态学
bioelectricity	,生物电
bioelectrochemistry	,生物电化学
bioenergetics	,生物能学
bioengineering	,生物工程
bioinformation	,生物信息
biomedical model	,生物医学模式
biparental	,双亲的
biparental inheritance	,双亲遗传
biphasic	,两相的
biphasic symptom	,两相症状
bipolar	,双极的
bipolar adjective scale	,双极形容词量表 双极形容量表
bipolar affective disorder	,两极性情绪紊乱
bipolar affective psychosis	,两极情感性精神病
bipolar cell	,双极细胞
bipolar cell layer	,双极细胞层
bipolar depression	,两极型忧郁症
bipolar disorder	,两极型异常
bipolar lead	,双极导出
bipolar nerve cell	,双极神经细胞
bipolar neuron	,双极神经元
bipolar rating scale	,两极式评定量表
bipolarity	,两极性
bipolarity of affective	,情感两极性
bipolarity of feeling	,情感两极性
bipotentiality	,双潜能
bipotentiality of the gonad	,生殖腺两性潜能
birth	,分娩
birth adjustment	,出生顺应
birth age specific	,年龄别出生率
birth agemarital	,年龄婚龄别出生率
birth cohort	,出生组
birth control	,节制生育
birth differential	,级差的出生率
birth injury	,产伤
birth intrinsic	,固定人口出生率
birth nuptial	,婚姻出生率
birth order	,出生次序
birth place population	,出生的人口
birth planned	,计划出生率
birth process	,出生过程
birth rate	,出生率
birth specific	,类别出生率
birth stable rate	,稳定出生率
birth standardized	,标准化出生率
birth statistics	,出生统计
birth symbolism	,出生表象
birth total	,合计出生率
birth trauma	,产伤
birth trauma	,出生创伤
birthright	,生来就有的权利
birthanddeath process	,出生死亡过程 出生死亡历程
bisect	,分开
bisected brain	,分裂脑
bisection	,平分
bisector	,平分线
bisectrix	,等分角线
biserial	,双数列的
biserial coefficient	,双数列系数
biserial coefficient of correlation	,双列相关系数
biserial correlation	,二列相关
biserial correlation	,双列相关
biserial correlation coefficient	,双列相关系数
biserial ratio of correlation	,双数列相关比
bisexual libido	,两性欲力
bisexuality	,两性俱有
Bishops sphygmoscope	,毕晓普脉搏检视器
bit	,比特
bit	,二进制位
bit combination	,位组合
bit of information	,信息单位
bit per second	,每秒比特
bit site	,数位位置
bit time	,一位时间
bitter	,苦
bitterness	,苦味
bivalent releaser	,二价释放刺激
bivariate	,双变量的
bivariate analysis	,双变量分析
bivariate correlation	,双变量相关
bivariate distribution	,二元分布
bivariate frequency table	,双变量次数表 双变项次数表
bivariate normal distribution	,双变量正态分布
bizarre delusion	,怪异妄想
bizarre experience	,奇异经验
bizarre image	,怪诞意象
bidirectional goal gradient	,双向目标梯度
bidirectional movement	,双向移动
bidirectional replication	,二向复制
bimodality	,双通道
blabber	,喋喋不休的人
black	,黑
black box	,暗箱
black box	,黑匣子
black box theory	,黑箱理论
black despair	,绝望
black in the face	,脸色发紫
black light	,黑线
black out	,撤光
black propaganda	,暗宣传
blackbox	,暗箱
blackbox theory	,暗箱说
blackdamp	,窒息性空气
blackguard	,恶棍
blackguardism	,恶棍行为
blackmail	,敲榨
blackout	,黑视
blackout	,昏厥
blackout threshold	,失觉阈限
Blacky Pictures	,布莱克漫画测验
Blacky Test	,布莱克测验
blackbox organization model	,黑箱组织模型
blackbox paradigm	,黑箱范式
bladder	,膀胱
bladder control	,膀胱控制
bladder training	,排尿训练
blah	,废话
Blakes disks	,布莱克盘
blame	,责备
blank experiment	,插入实验
blank experiment	,空白实验
blank field effect	,空虚视野效应
blank instruction	,空白指令
blank trial	,空白练习
blarney	,奉承话
blase	,厌于享乐的
blaspheme	,辱骂
blasphemer	,辱骂者
blast	,胚叶
blastocyte	,胚细胞
blastomere	,裂球
blastophyly	,种族史
blastoprolepsis	,发育迅速
blastula	,囊胚
blather	,胡说
bleaching	,漂白
blemish	,污点
blench	,退缩
blend	,混合
blepharism	,脸痉挛
blepharoplegia	,脸瘫痪
blight	,使失望
blind	,盲点
blind action	,盲动
blind alley	,盲路
blind alley job	,盲目职业
blind analysis	,匿情分析
blind child	,盲童
blind path	,盲路
blind positioning movement	,盲目定位动作
blind research procedure	,保密研究法
blind spot	,盲点
blinder	,障眼物
blinding glare	,失明眩光
blindism	,盲人主义
blindman	,盲人
blindmans buff	,捉迷藏
blindness	,盲
blink	,瞬目
blink rate	,眨眼率
blink reflex	,眨眼反应
blinker	,闪光警戒标
blinking	,瞬目
blinking coding	,闪烁编码
blinking light	,闪光信号灯
blinkpunkt	,注视点
blinkeyed	,习惯性眨眼
blob	,模糊的东西
Blochs law	,布洛奇法则
block	,区
block	,阻断
block access	,字组存取
block building	,积木
block chart	,方块图
block code	,分组码
block design	,分组实验设计
block design	,区组设计
block diagram	,直方图
block encoding	,分块编码
block sample	,区域样本
block sampling	,区域抽样
block search	,分批试验法
Block Situation Test	,积木情境测验
block system	,区划法
block variable	,集区变量
blockade	,阻滞
blocked goal	,目标阻滞
blocker	,阻断剂
blockette	,数字组
blockette	,子信息块
blocking	,阻滞
blocking antibody	,抑制性抗体
blocking of affect	,情感阻滞
